Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score
1,7.27,+2.2,Heike DAUTE,16 DEC 1964,GDR,1,,"Olympiastadion, Helsinki (FIN)",14 AUG 1983,1265
2,7.14,+1.1,Heike DAUTE,16 DEC 1964,GDR,1,,Bratislava (TCH),04 JUN 1983,1249
3,7.08,+1.0,Heike DAUTE,16 DEC 1964,GDR,1,,Leipzig (GER),27 JUL 1983,1236
4,7.03,+1.3,Darya KLISHINA,15 JAN 1991,RUS,1,,"Meteor, Zhukovskiy (RUS)",26 JUN 2010,1224
5,7.02,+4.0,Heike DAUTE,16 DEC 1964,GDR,1,,"Atletiekbaan Overvecht, Utrecht (NED)",20 AUG 1981,1198
6,7.01,+2.0,Heike DAUTE,16 DEC 1964,GDR,1,,Karl Marx Stadt (GDR),17 JUN 1983,1220
7,7.00,-0.2,Birgit GROßHENNIG,21 FEB 1965,GDR,2,,Berlin (GER),09 JUN 1984,1219
8,6.98,+1.1,Heike DAUTE,16 DEC 1964,GDR,1,,Potsdam (GDR),18 AUG 1982,1213
9,6.97,+0.3,Heike DAUTE,16 DEC 1964,GDR,1,,Jena (GDR),28 MAY 1983,1211
10,6.94,-0.5,Magdalena KHRISTOVA,25 FEB 1977,BUL,2,,Kalamata (GRE),22 JUN 1996,1208
10,6.94,+1.1,Darya KLISHINA,15 JAN 1991,RUS,1,,Yerino (RUS),11 JUN 2010,1205
12,6.93,+4.6,Beverly KINCH,14 JAN 1964,GBR,5,,"Olympiastadion, Helsinki (FIN)",14 AUG 1983,1175
13,6.91,0.0,Anișoara CUȘMIR,28 JUN 1962,ROU,1,,Bucureşti (ROU),23 MAY 1981,1198
13,6.91,+1.0,Heike DAUTE,16 DEC 1964,GDR,1,,Jena (GDR),09 AUG 1981,1198
13,6.91,,Larissa IAPICHINO,18 JUL 2002,ITA,1,,"Palaindoor Ancona, Ancona (ITA) (i)",20 FEB 2021,1198
16,6.90,+1.4,Beverly KINCH,14 JAN 1964,GBR,,,"Olympiastadion, Helsinki (FIN)",14 AUG 1983,1196
17,6.88,,Heike DAUTE,16 DEC 1964,GDR,1,,Berlin (GER) (i),01 FEB 1983,1191
17,6.88,+0.6,Natalya SHEVCHENKO,28 DEC 1966,URS,2,,Sochi (URS),26 MAY 1984,1191
17,6.88,+2.1,Fiona MAY,12 DEC 1969,GBR,1,,"Laurentian University Stadium, Sudbury (CAN)",30 JUL 1988,1179
20,6.87,,Darya KLISHINA,15 JAN 1991,RUS,1,,Moskva (RUS) (i),07 FEB 2010,1189
21,6.86,,Heike DAUTE,16 DEC 1964,GDR,1,,Senftenberg (GER) (i),19 FEB 1983,1187
21,6.86,+0.1,Alyssa JONES,06 FEB 2004,USA,2,,"Mike A. Myers Stadium, Austin, TX (USA)",08 JUN 2023,1187
21,6.86,+1.0,Sophia BECKMON,17 AUG 2005,USA,1,,"Demirjian Park, Champaign, IL (USA)",04 MAY 2024,1187
24,6.84,,Larisa BALUTA,13 AUG 1965,URS,2,,Krasnodar (URS),06 AUG 1983,1183
24,6.84,+2.8,Anu KALJURAND,16 APR 1969,URS,2,,Riga (LAT),04 JUN 1988,1167
26,6.83,+1.7,Kate HALL,12 JAN 1997,USA,1,,"Greensboro, NC (USA)",21 JUN 2015,1180
27,6.82,,Natalya SHEVCHENKO,28 DEC 1966,URS,1,,Novokuznetsk (RUS),17 JUL 1983,1178
27,6.82,+1.7,Fiona MAY,12 DEC 1969,GBR,,,"Laurentian University Stadium, Sudbury (CAN)",30 JUL 1988,1178
29,6.81,+1.4,Yelena DAVYDOVA,16 NOV 1967,URS,1,,Krasnodar (URS),15 JUL 1985,1176
29,6.81,+2.5,Katarina JOHNSON-THOMPSON,09 JAN 1993,GBR,1,,"Estadio Olímpico, Barcelona (ESP)",13 JUL 2012,1161
31,6.80,+1.6,Carol LEWIS,08 AUG 1963,USA,1,,"Knoxville, TN (USA)",18 JUN 1982,1174
31,6.80,0.0,Fengmei PENG,02 JUL 1979,CHN,2,,Chengdu (CHN),18 APR 1998,1174
31,6.80,+0.3,Darya KLISHINA,15 JAN 1991,RUS,1,,"Karađorđe Stadium, Novi Sad (SRB)",24 JUL 2009,1174
31,6.80,+2.7,Lena MALKUS,06 AUG 1993,GER,2,,"Estadio Olímpico, Barcelona (ESP)",13 JUL 2012,1158
31,6.80,+2.5,Malaika MIHAMBO,03 FEB 1994,GER,1f1,,Weinheim (GER),25 MAY 2013,1159
31,6.80,+0.7,Larissa IAPICHINO,18 JUL 2002,ITA,1,,"Centro Sportivo Fontanassa, Savona (ITA)",16 JUL 2020,1174
31,6.80,+2.2,Maja ÅSKAG,18 DEC 2002,SWE,1,,"Kadrioru staadion, Tallinn (EST)",18 JUL 2021,1161
38,6.79,NWI,Carmen SÂRBU,17 FEB 1967,ROU,2,,Bucureşti (ROU),02 JUN 1985,1141
38,6.79,+1.5,Fiona MAY,12 DEC 1969,GBR,2,,Birmingham (GBR),06 AUG 1988,1171
38,6.79,+2.5,Concepción MONTANER,14 JAN 1981,ESP,1,,Valencia (ESP),12 AUG 2000,1156
38,6.79,,Florentina Costina MARINCU,08 APR 1996,ROU,3,,"O2 Arena, Praha (CZE) (i)",07 MAR 2015,1171
38,6.79,+2.2,Natalia LINARES,03 JAN 2003,COL,1,,Valledupar (COL),02 JUL 2022,1158
38,6.79,+2.4,Alyssa JONES,06 FEB 2004,USA,1,,"Hilmer Lodge Stadium, Walnut, CA (USA)",13 MAY 2023,1157
38,6.79,+0.3,Prestina Oluchi OCHONOGOR,03 JUL 2006,NGR,1,,"UJ Esuene Stadium, Calabar (NGR)",30 APR 2024,1171
45,6.78,,Kathy MCMILLAN,07 NOV 1957,USA,1,,"Westwood, CA (USA)",12 JUN 1976,1169
45,6.78,+2.1,Kathy MCMILLAN,07 NOV 1957,USA,1,,"Eugene, OR (USA)",19 JUN 1976,1157
45,6.78,,Heike DAUTE,16 DEC 1964,GDR,1,,Budapest (HUN) (i),12 FEB 1983,1169
45,6.78,+3.3,Anu KALJURAND,16 APR 1969,URS,2,,"Laurentian University Stadium, Sudbury (CAN)",30 JUL 1988,1150
45,6.78,,Erica JOHANSSON,05 FEB 1974,SWE,1,,Malmö (SWE) (i),21 FEB 1993,1169
45,6.78,+1.7,Darya KLISHINA,15 JAN 1991,RUS,1,,"Olympiastadion, Stockholm (SWE)",06 AUG 2010,1169
45,6.78,+4.3,Chanice PORTER,25 MAY 1994,JAM,1,,Kingston (JAM),16 JUN 2012,1144
45,6.78,+1.8,Maryna BEKH-ROMANCHUK,18 JUL 1995,UKR,1,,Yalta (UKR),06 JUN 2013,1169
