Venue,latitude,longitude,elevation,geocode_result
"Poljud Stadion, Split (CRO)",43.5116383,16.4399659,17.0,"Split, Grad Split, Splitsko-dalmatinska županija, Hrvatska"
"Boudewijnstadion, Bruxelles (BEL)",50.8662678,4.3490827,18.0,"BEL, Rue Isala Van Diest - Isala Van Dieststraat, Tour et Taxis - Thurn en Taxis, Bruxelles - Brussel, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, België / Belgique / Belgien"
"Olympic Stadium, London (GBR)",51.5074456,-0.1277653,17.0,NOT FOUND
"Stade Louis II, Monaco (MON)",6.814645,-58.1358362,4.0,"Monaco, Second Street, Campbellville, Bel Air Park, City of Georgetown, Plaisance-Industry Local Government, Demerara-Mahaica, Guyana"
"LFK CSKA, Moskva (RUS) (i)",55.6918053,37.5556847,182.0,"РГУ нефти и газа (НИУ) им. И. М. Губкина, улица Дмитрия Ульянова, Гагаринский район, Москва, Центральный федеральный округ, 119333, Россия"
"Sechseläutenplatz, Zürich (SUI)",47.3744489,8.5410422,421.0,"Zürich, Bezirk Zürich, Zürich, Schweiz/Suisse/Svizzera/Svizra"
Pisa (ITA),51.0644395,3.7267239,6.0,"Pizza Pisa, 122, Geraard Mercatorstraat, Heilig Kerst, Gent, Oost-Vlaanderen, 9000, België / Belgique / Belgien"
Bruxelles (BEL),50.8662678,4.3490827,18.0,"BEL, Rue Isala Van Diest - Isala Van Dieststraat, Tour et Taxis - Thurn en Taxis, Bruxelles - Brussel, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, België / Belgique / Belgien"
Bern (SUI),46.9471831,7.4332081,537.0,"Eidgenössische Finanzmarktaufsicht FINMA, 27, Laupenstrasse, Villette, Monbijou, Stadtteil III, Bern, Verwaltungskreis Bern-Mittelland, Verwaltungsregion Bern-Mittelland, Bern/Berne, 3008, Schweiz/Suisse/Svizzera/Svizra"
Genova (ITA) (i),44.40726,8.9338624,35.0,"Genova, Liguria, Italia"
Drama (GRE),41.1499443,24.1468286,102.0,NOT FOUND
Pireaus (GRE) (i),38.1203744,23.8579356,370.0,NOT FOUND
"Budapest Sportcsarnok, Budapest (HUN) (i)",47.4506869,19.0910523,107.0,"Magyar Honvédség Logisztikai Központ, 152, Külső-Ferencváros, IX. kerület, Budapest, Közép-Magyarország, 1095, Magyarország"
Formia (ITA),41.259308,13.6080209,44.0,"Formia, Latina, Lazio, 04023, Italia"
"Estadio Olímpico, Barcelona (ESP)",41.3825802,2.177073,29.0,NOT FOUND
Berlin (GER) (i),52.5173885,13.3951309,36.0,"Berlin, Deutschland"
Sindelfingen (GER) (i),48.7084162,9.0035455,445.0,"Sindelfingen, Landkreis Böblingen, Baden-Württemberg, Deutschland"
Stara Zagora (BUL),42.4178947,25.6054919,233.0,"бул. Цар Симеон Велики, кв. Три чучура, Стара Загора, 6010, България"
Hechtel (BEL),51.1236746,5.3638574,60.0,NOT FOUND
Kalamata (GRE),37.0372714,22.110707,24.0,NOT FOUND
Yekaterinburg (RUS) (i),56.7151466,60.8991647,227.0,"к/с «Русь», Октябрьский район, Екатеринбург, городской округ Екатеринбург, Свердловская область, Уральский федеральный округ, Россия"
"Sportaréna, Budapest (HUN) (i)",47.4506869,19.0910523,107.0,"Magyar Honvédség Logisztikai Központ, 152, Külső-Ferencváros, IX. kerület, Budapest, Közép-Magyarország, 1095, Magyarország"
Zürich (SUI),47.363835,8.545057,400.0,"mOcean SUI 31, Utoquai, Hochschulen, Altstadt, Zürich, Bezirk Zürich, Zürich, 8024, Schweiz/Suisse/Svizzera/Svizra"
Sollentuna (SWE),59.4293164,17.9500556,26.0,NOT FOUND
"Letzigrund, Zürich (SUI)",47.3744489,8.5410422,421.0,"Zürich, Bezirk Zürich, Zürich, Schweiz/Suisse/Svizzera/Svizra"
"Bislett Stadion, Oslo (NOR)",59.9219205,10.7059501,43.0,"Nor Moské, Nordraaks gate, Aker brygge, Frogner, Oslo, 0266, Norge"
"Schleyer Halle, Stuttgart (GER) (i)",48.7784485,9.1800132,246.0,"Stuttgart, Baden-Württemberg, Deutschland"
Split (CRO),43.5065219,16.4829739,51.0,"Cro-go, Ispod Svetog Lovre, Gradski kotar Žnjan, Split, Grad Split, Splitsko-dalmatinska županija, 21115, Hrvatska"
"Štadión SNP, Banská Bystrica (SVK)",48.7383895,19.1585805,347.0,NOT FOUND
Cottbus (GER),51.7567447,14.3357307,74.0,"Cottbus - Chóśebuz, Brandenburg, Deutschland"
"FBK Stadium, Hengelo (NED)",52.2523195,6.7955256,21.0,NOT FOUND
Volgograd (RUS) (i),49.7486735,43.6428019,105.0,"Объединение фермерских хозяйств ""Русь"", Фролово, городской округ Фролово, Волгоградская область, Россия"
Moskva (RUS) (i),55.7032166,37.3127061,203.0,"ДПК «Русь», Лохино, Одинцовский городской округ, Московская область, Центральный федеральный округ, Россия"
"Cobb Track and Angell Field, Palo Alto, CA (USA)",36.7014631,-118.755997,2771.0,"California, United States"
"Khalifa International Stadium, Doha (QAT)",25.2678234,51.5587853,17.0,"قاعة المغادرة مطار الدوحة الدولي, حديقة المطار, مطار الدوحة الدولي, الدوحة, قطر"
"Salyut Geraklion Arena, Moskva (RUS) (i)",55.6918053,37.5556847,182.0,"РГУ нефти и газа (НИУ) им. И. М. Губкина, улица Дмитрия Ульянова, Гагаринский район, Москва, Центральный федеральный округ, 119333, Россия"
"Lausitz-Arena, Cottbus (GER) (i)",51.7567447,14.3357307,74.0,"Cottbus - Chóśebuz, Brandenburg, Deutschland"
London (GBR),51.5074456,-0.1277653,17.0,"Greater London, England, United Kingdom"
"Austin, TX (USA)",30.2711286,-97.7436995,174.0,"Austin, Travis County, Texas, United States"
"Olympic Stadium, Seoul (KOR)",11.5624001,104.8914285,14.0,"មីហិរ ៧យ៉ាង Seoul, ផ្លូវ ១៦០, សង្កាត់ទឹកល្អក់ទី ២, ខណ្ឌទួលគោក, រាជធានីភ្នំពេញ, 120405, ព្រះរាជាណាចក្រ​កម្ពុជា"
Köln (GER),50.938361,6.959974,56.0,"Köln, Nordrhein-Westfalen, Deutschland"
Osaka (JPN) (i),34.7349742,135.4945412,16.0,"JPN, 熊野大阪線, 宮原四丁目, 淀川区, 大阪市, 大阪府, 532-0003, 日本"
München (GER) (i),48.1371079,11.5753822,523.0,"München, Bayern, Deutschland"
Sevilla (ESP),7.9068656,-72.5048403,300.0,"ASEO URBANO S.A. ESP, Avenida Aeropuerto, Zulima, Comuna 5 - Nororiental, Perímetro Urbano Cúcuta, Cúcuta, Oriental, Norte de Santander, RAP Gran Santander, 540002, Colombia"
München (GER),48.1371079,11.5753822,523.0,"München, Bayern, Deutschland"
Hengelo (NED),52.2523195,6.7955256,21.0,NOT FOUND
Ingolstadt (GER),48.7630165,11.4250395,375.0,"Ingolstadt, Bayern, Deutschland"
Stuttgart (GER) (i),48.7784485,9.1800132,246.0,"Stuttgart, Baden-Württemberg, Deutschland"
Nikopol (UKR),47.5692061,34.3917272,72.0,NOT FOUND
Bratislava (SVK),48.1559178,17.1313541,141.0,NOT FOUND
Berlin (GER),52.5173885,13.3951309,36.0,"Berlin, Deutschland"
Bucureşti (ROU) (i),44.4361414,26.1027202,97.0,NOT FOUND
"Ferry-Dusika-Halle, Wien (AUT) (i)",48.1377944,16.3635878,184.0,NOT FOUND
